timestamp,open,high,low,close,volume
2022-07-15,275.2600,276.9800,273.2600,276.9800,2370145
2022-07-14,267.8200,269.1200,265.1200,269.0100,2473787
2022-07-13,270.1400,275.8700,269.2950,274.7300,2423311
2022-07-12,274.9600,277.6500,273.1050,273.5400,2146585
2022-07-11,270.9400,278.1669,270.7500,276.7700,2251747
2022-07-08,274.7600,276.3800,271.9700,273.6800,1711930
2022-07-07,274.8200,276.2600,273.5900,273.8800,2338141
2022-07-06,269.6100,275.4800,269.5500,274.2900,3484076
2022-07-05,272.1800,273.4700,266.8250,270.6300,4332745
2022-07-01,283.5200,286.1300,280.9300,285.4400,3307611
2022-06-30,284.1200,289.5900,282.5000,287.5300,2926961
2022-06-29,291.1340,292.3400,288.6400,291.4100,1951294
2022-06-28,296.2500,299.0000,292.1900,293.4000,2535516
2022-06-27,299.6200,300.8000,295.4900,296.2600,2714304
2022-06-24,297.5100,304.6200,297.4650,303.2300,23958751
2022-06-23,296.9600,299.7900,293.0000,296.8300,2812451
2022-06-22,293.5900,300.9000,293.3400,298.4000,2769206
2022-06-21,293.3900,300.6100,292.8400,298.7800,3779420
2022-06-17,285.0400,292.5100,283.6700,290.6800,5565570
2022-06-16,289.8400,291.6100,287.8300,289.7200,2986892
2022-06-15,299.6000,302.8400,294.0600,299.9900,1979468
2022-06-14,299.2600,300.1100,293.2200,295.6200,2420349
2022-06-13,302.6300,304.5000,299.7500,301.3300,2039566
2022-06-10,312.4500,313.2900,307.8600,310.8900,2008025
2022-06-09,324.2500,326.6000,318.5900,318.6900,1666239
2022-06-08,330.9300,333.7500,327.2900,328.6000,1916979
2022-06-07,331.5400,336.1300,331.2000,335.7600,1726083
2022-06-06,336.3800,337.9900,333.3600,335.5100,1728558
2022-06-03,330.2900,333.5600,329.8200,331.9000,1332834
2022-06-02,323.5400,333.4000,322.9300,333.1800,2282427
2022-06-01,323.5300,325.1250,317.8000,319.6100,1853782
2022-05-31,324.4500,327.8500,322.8950,324.6800,2510401
2022-05-27,323.9100,329.8100,323.3600,329.6300,1878978
2022-05-26,317.5500,321.7500,317.1800,320.3300,2651563
2022-05-25,318.7600,320.0400,313.2900,315.8500,2260079
2022-05-24,321.0000,321.6400,315.6900,320.4900,1707656
2022-05-23,319.9200,323.5300,318.7300,320.4200,1981099
2022-05-20,315.5100,316.7500,307.3300,315.1800,2372010
2022-05-19,308.4700,314.0950,307.9500,310.7000,1957833
2022-05-18,314.6200,316.2900,308.9100,310.0700,1737248
2022-05-17,316.9200,318.9000,314.9300,318.7700,1396688
2022-05-16,307.3500,311.6300,304.9300,309.4400,1598788
2022-05-13,303.2900,311.1800,302.5900,308.7700,1845454
2022-05-12,296.5100,302.3300,296.3176,301.3400,2455226
2022-05-11,298.0800,306.7300,297.4000,300.4500,1759321
2022-05-10,306.2000,306.6500,298.0900,299.3800,2525192
2022-05-09,303.7200,305.6000,299.8200,300.2700,2027027
2022-05-06,305.4800,309.8200,303.7850,308.6600,2273042
2022-05-05,318.8800,319.6800,309.4300,312.6100,1769712
2022-05-04,314.8100,322.9000,312.1400,322.2400,1726284
2022-05-03,314.1200,316.6900,311.9200,314.0100,1771891
2022-05-02,314.5600,315.6550,306.9000,313.2900,2195364
2022-04-29,313.5300,318.9000,310.9700,311.9600,2534861
2022-04-28,305.5000,316.5200,303.0250,315.1900,3304882
2022-04-27,304.3700,310.0600,303.4700,307.0400,2610919
2022-04-26,311.6400,313.5500,303.5300,303.5300,2317400
2022-04-25,311.3000,314.1700,306.5200,313.9900,2293478
2022-04-22,322.6600,322.6600,309.0300,309.7200,2339260
2022-04-21,331.1900,332.3100,323.5800,324.3700,1475038
2022-04-20,319.9200,327.8700,319.9200,326.3700,1940946
2022-04-19,315.0900,319.1600,314.5600,318.1500,1944800
2022-04-18,318.4900,319.9000,315.6900,317.5400,915826
2022-04-14,318.9600,320.7000,316.6200,318.5200,1785315
2022-04-13,314.0000,319.4300,313.5300,319.2500,1208897
2022-04-12,314.9100,317.6100,312.8900,314.0000,1827941
2022-04-11,317.8500,319.4200,316.7600,317.1500,1235758
2022-04-08,317.5000,321.4600,317.1300,317.8200,1357176
2022-04-07,316.7800,319.5000,314.3600,318.0500,1471376
2022-04-06,316.0200,316.9200,312.1300,315.0500,2257621
2022-04-05,320.8300,325.0400,320.6700,321.7700,1374536
2022-04-04,320.3700,321.9800,319.1800,321.4400,1301779
2022-04-01,320.8900,322.9000,320.3700,322.7300,1477765
2022-03-31,323.5300,324.8800,319.2200,319.4300,2311272
2022-03-30,324.6000,326.5400,322.4550,325.6200,1526738
2022-03-29,327.7300,329.0000,320.7400,326.3400,2514240
2022-03-28,319.3700,322.7000,319.0400,322.6400,1722506
2022-03-25,320.6400,320.9400,315.7450,318.7400,1803926
2022-03-24,309.7020,318.1300,309.7020,318.0400,2115897
2022-03-23,307.7400,310.7200,306.9483,307.3000,1853999
2022-03-22,311.9000,313.4000,309.6050,312.1300,1514544
2022-03-21,311.5300,312.4600,308.3200,310.7000,1553907
2022-03-18,304.7100,312.5700,304.7100,311.6600,3231874
2022-03-17,302.8900,310.0900,302.1400,309.3700,2265270
2022-03-16,303.0800,308.3100,298.5840,304.5300,3535899
2022-03-15,290.1700,294.5800,287.3400,294.1000,3413568
2022-03-14,288.6600,292.6404,284.6000,285.3600,2541154
2022-03-11,288.3500,289.5000,280.3300,280.7600,2007435
2022-03-10,280.5400,288.1800,280.1600,283.4800,2525863
2022-03-09,284.3200,296.3000,281.9400,292.7700,4117790
2022-03-08,273.5000,278.5800,267.5100,271.4400,3117495
2022-03-07,280.8400,281.2200,269.8650,270.9900,3732139
2022-03-04,278.3600,281.5400,276.3700,281.4300,3853940
2022-03-03,290.5800,291.8500,285.6650,287.4100,3092186
2022-03-02,284.1200,292.0300,282.4401,290.2000,2964468
2022-03-01,292.0000,293.1300,280.5500,282.5600,3439348
2022-02-28,287.9600,294.7200,287.9600,293.2400,3233299
2022-02-25,287.6800,297.6500,287.6000,297.4900,2889050
2022-02-24,276.7500,285.9000,276.7500,285.2500,4444541
2022-02-23,295.8500,297.1150,290.6500,291.0900,3391770
2022-02-22,291.2000,295.0700,289.7400,293.5900,3586806
2022-02-18,299.8120,305.2550,298.6300,302.8600,2871470
2022-02-17,301.9700,302.6550,298.0000,298.9700,2055900
2022-02-16,301.3100,305.2700,299.1100,303.8300,1805616
2022-02-15,300.5700,302.6200,298.9200,301.9000,2772439
2022-02-14,294.2200,295.8500,290.3200,293.5100,1774426
2022-02-11,306.9800,309.1000,293.5100,294.7300,2209713
2022-02-10,309.6900,316.8500,307.2900,308.8500,2497991
2022-02-09,302.7700,304.9700,301.7500,304.1500,1880891
2022-02-08,296.5200,299.6400,294.9200,298.7100,1993016
2022-02-07,296.7100,299.6400,295.5100,296.4700,2533353
2022-02-04,301.4100,304.4100,297.5100,297.9800,3291672
2022-02-03,319.0700,319.5200,310.9800,311.8000,1556349
2022-02-02,320.3300,324.5100,320.0000,322.2900,1730449
2022-02-01,320.4400,322.0800,315.9300,321.4100,1875767
2022-01-31,310.0600,318.9000,309.5500,318.6800,2381392
2022-01-28,307.3600,314.9700,305.4200,314.9400,1898360
2022-01-27,310.7300,314.0600,307.3000,311.3500,2151559
2022-01-26,317.1000,317.7400,305.7600,308.9300,2092907
2022-01-25,310.3700,316.2200,306.3000,313.5900,1941643
2022-01-24,313.8000,316.7800,304.1300,316.1600,2877752
2022-01-21,320.7000,322.0200,315.5000,316.1200,1921810
2022-01-20,323.8200,327.6000,321.2500,321.6800,1611724
2022-01-19,325.3600,326.8200,321.8600,322.1900,1435349
2022-01-18,322.8320,323.8000,318.4600,321.1600,2202207
2022-01-14,329.1500,330.7400,325.1700,328.6300,1850732
2022-01-13,338.2800,339.9364,332.7927,333.4100,1446219
2022-01-12,338.3100,341.9200,337.1800,341.2900,1274370
2022-01-11,334.1900,336.4700,331.0000,336.4300,1571484
2022-01-10,333.4200,335.5500,330.6500,335.4300,1415632
2022-01-07,338.0200,338.1900,333.3000,336.2800,1440980
2022-01-06,344.6800,345.5000,337.7000,338.0100,1649458
2022-01-05,347.6900,352.1800,346.3200,346.4100,1654894
2022-01-04,338.9600,345.6300,338.2700,344.8100,1920004
2022-01-03,346.4200,346.5900,338.3606,338.6400,1514908
2021-12-31,343.7200,346.9700,343.6300,346.4300,816734
2021-12-30,345.2600,346.2200,343.7600,344.3300,925304
2021-12-29,344.1700,346.5000,343.9500,345.4000,802118
2021-12-28,343.3800,344.9500,342.8900,343.7900,926530
2021-12-27,341.8300,343.8700,340.6700,343.4200,1094377
2021-12-23,335.3500,340.6400,335.2200,339.1700,1151893
2021-12-22,332.1400,335.5400,331.4350,335.3500,923516
2021-12-21,330.4000,334.0100,329.5800,332.8900,1051934
2021-12-20,330.3600,330.6700,327.0100,330.3200,1621822
2021-12-17,338.1300,338.9900,333.1200,333.8300,2791435
2021-12-16,340.9000,343.3100,338.5800,340.0100,1449663
2021-12-15,336.1900,341.4100,334.6200,341.3600,1445151
2021-12-14,335.1900,336.0600,333.0200,334.5000,1631386
2021-12-13,333.6800,335.5000,331.4200,334.1900,1016810
2021-12-10,332.9700,334.8400,332.7900,334.0000,1116567
2021-12-09,331.0500,334.0000,330.5000,332.1200,1086594
2021-12-08,333.9000,334.0300,330.8400,333.1900,1370084
2021-12-07,330.6600,332.5200,329.9900,330.6500,1797521
2021-12-06,325.1600,326.4300,323.4600,325.0300,1672876
2021-12-03,325.1800,327.0000,318.2550,320.7000,2566706
2021-12-02,320.0000,324.6900,319.4000,324.0000,2183884
